Assemblage_Name	4-9357092-2745693	4-3863209-8279654	4436449-0-6389333	9948559-1581673-2745693	4-0-3550337	0-1-5363348	4-3863209-2745693	8741822-3851532-8197965	0-1-2305687	7878909-1643377-4	0-4040676-3	0-4717351-3	1636596-4680579-4	2903256-0-2745693	2137726-2-0	4436449-3291567-3950599	1611174-0-4	1882143-0-2745693	322338-8813429-2	4436449-6432998-2745693	0-1-9826683	1636596-7071604-4	2938425-3-6470177	2-3-886062	3404478-8813429-2996775	0-4625641-3	4436449-0-2745693	0-1-3039588	3404478-3790140-2	5351099-3825692-6470177	0-1-2234354	7878909-0-490626	0-4717351-6184361	1636596-3234523-4	4-0-2745693	1611174-0-589116	3878729-0-4	8304096-0-2745693	3275645-1-3	7878909-0-9302449	1636596-4040195-4	5351099-3-1948781	3404478-8813429-677940	0-1-1915022	0-1-3	4436449-0-3186665	1636596-907724-4	7100060-0-2745693	4-3863209-5953028	0-1-6230812	3404478-4055634-2	3047558-309335-4	5351099-8313925-6470177	2042435-0-4	3404478-8813429-174076	3404478-8813429-8707660	7878909-0-3683909	3878729-183693-4	7100037-0-4	136478-0-4	0-1-7655026	8250235-0-4	11034-1-3	3404478-8813429-2331760	3309347-3851532-4110204	8741822-3851532-2461665	5020947-8813429-2	4436449-3291567-9563289	5405002-1-3	5351099-2791607-6470177	8741822-3-622256	7878909-309335-4	2806890-0-4	4-0-3315041	8865847-0-4	3504758-0-4	5209173-7212449-2	619899-7686788-4	8741822-3851532-4110204	3404478-8813429-1809271	0-8482019-3	0-1-9745792	3324313-8813429-2	7878909-0-7396481	1636596-6030981-4	1636596-0-8565198	3404478-8813429-9949209	9741177-0-2552063	4555831-0-4	3751028-1-3	8945628-0-4	5405002-3987996-3	2-3-4110204	7908608-1-2305687	7878909-3308234-4	7878909-0-9734653	0-940393-2234354	1636596-0-4	4-5877398-2745693	3404478-7212449-2	3330997-9498649-4	4-9498649-4	0-1-3567342	3404478-8674152-2331760	3404478-4241957-2	9948559-0-2745693	7878909-2947735-4	4436449-0-9055541	7878909-5941365-4	0-1-3342154	1636596-0-7536050	0-5320201-3	3-3-8408710	1-7212449-4880014	0-5977268-3	4-0-4	1931947-1-3	7878909-0-4	41829-8813429-1809271	3404478-8813429-2	0-2452556-3	3404478-446515-2	1043444-0-2745693	3-514553-8408710	8477441-3-6470177	4436449-0-2552063	5351099-3-6470177	4436449-8129319-2745693	0-396446-2234354	3404478-2703296-2
assemblage-752-634	13	14	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	24	0	0	0	20	0	0	0	0	0	0	0	0	0	122	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	18	0	0	7
assemblage-369-692	0	0	0	0	8	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	10	0	79	0	0	29
assemblage-323-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	52	0	111	0	0	0	0	0	0	0	0	0	32
assemblage-869-918	0	8	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	4	0	0	0	0	0	0	13	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	32	133	0	25	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	17	0	0	20
assemblage-501-749	0	0	0	0	0	0	0	0	11	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	77	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	30	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	4	0	0	0	0	0	0	17
assemblage-501-748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	77	157	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	25	0	0	0	0	0	0	22
assemblage-213-781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	7	0	0	0	0	0	52	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	20	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	50	0	0	0	0	0	0	0	0	0	25
assemblage-688-285	0	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	25	0	0	0	0	0	0	13	0	0	119	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	68	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	47	0	0	42
assemblage-932-998	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	29	0	11	0	0	0	0	20	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	38	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	82	0	7	32
assemblage-761-624	16	20	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	0	113	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	13	0	0	10
assemblage-137-330	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	67	0	0	0	0	0	0	0	37	0	0	0	0	7	0	0	0	0	0	0	72	0	74	0	0	0	0	0	0	0	0	0	35
assemblage-754-638	0	4	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	3	0	0	0	0	0	0	10	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	30	112	0	23	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	8	0	0	24
assemblage-729-1006	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	12	0	14	0	0	0	0	21	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	38	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	68	0	25	43
assemblage-842-915	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	30	0	0	0	0	0	15	0	0	0	0	0	0	0	27	0	0	0	24	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	79	0	0	0	28	0	13	22
assemblage-851-901	12	16	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	14	0	0	0	14	0	0	0	0	0	0	0	0	0	113	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0	0	13
assemblage-828-136	8	16	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	0	0	0	16	0	0	0	0	0	0	0	0	0	124	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	13
assemblage-600-497	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	14	18	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	44	0	0	0	0	0	0	13	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	65	0	0	0	0	0	9	0	0	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	35	0	0	32
assemblage-437-378	0	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	48	0	0	0	53	0	0	0	72	0	0	0	0	0	0	0	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	43	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	23	0	0	16
assemblage-458-410	0	8	0	0	0	0	51	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	6	0	0	0	0	0	0	8	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	30	134	0	19	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	9	0	0	28
assemblage-685-923	0	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	38	0	0	0	0	34	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	35	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	43
assemblage-477-657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	44	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	58	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	72	0	0	0	0	0	0	0	52	0	0	0	0	0	25
assemblage-612-275	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	190	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	53	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	64	0	6	0	0	0	0	0	0	0	0	0	14
assemblage-210-937	0	0	0	8	0	0	0	0	0	0	0	86	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	10	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	6	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	51	0	0	0	0	0	0	6
assemblage-240-109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	56	0	0	0	0	0	0	0	0	0	26
assemblage-879-838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	122	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	6	0	0	0	0	9	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	54	0	0	0	0	0	0	0	0	0	9
assemblage-524-131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	46	0	112	0	0	0	0	0	0	0	0	0	14
assemblage-255-725	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	30	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	137	0	0	0	0	0	0	0	0	0	0	63	0	0	30
assemblage-745-570	0	0	0	0	0	0	0	0	0	0	0	80	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	10	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	42	0	0	0	0	0	0	19
assemblage-585-727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	14	0	0	9	6	0	0	17	160	6	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	9	26	10	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	45	0	0	0	0	0	0	48	0	0	28
assemblage-243-162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	154	0	0	0	0	0	55	0	0	0	16
assemblage-246-669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	10	14	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	94	0	0	0	0	0	63	0	0	0	38
assemblage-478-642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	13	0	35	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	47	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	95	0	0	0	0	0	0	0	48	0	0	0	0	0	31
assemblage-821-647	0	0	0	0	0	42	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	109	0	19	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	15	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	10	0	0	23
assemblage-243-797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	93	0	0	0	0	0	62	0	0	0	27
assemblage-821-643	0	0	0	0	0	47	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	83	0	10	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	18	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	10	0	0	18
assemblage-611-922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	19	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	5	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	41	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	60	0	0	0	0	0	0	0	21	0	0	22	0	0	33
assemblage-724-995	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	16	0	0	0	0	0	0	0	31	0	0	0	70	0	0	0	0	0	0	17	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	23	4	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	61	0	0	49
assemblage-393-321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	80	0	0	0	0	0	0	0	0	0	21
assemblage-728-992	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	81	0	0	0	0	0	29	0	0	0	0	0	0	0	65	0	0	0	65	0	0	0	0	0	0	38	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	19
assemblage-597-731	0	37	0	0	0	0	45	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	14	0	0	0	68	0	0	0	0	0	0	20	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	113	0	0	22
assemblage-605-717	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	77	0	0	0	0	0	36	0	0	0	0	0	0	0	60	0	0	0	97	0	0	0	0	0	0	29	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	7	0	0	18
assemblage-668-930	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	141	0	44	46	0	0	0	0	0	0	0	0	14
assemblage-405-318	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	258	26	72	0	0	0	0	0	7	0	0	0	30
assemblage-121-343	0	0	0	0	0	0	0	0	35	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	28	0	0	0	0	0	10	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	133	0	0	0	0	0	0	0	0	0	31
assemblage-576-485	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	264	28	66	0	0	0	0	0	11	0	0	0	21
assemblage-387-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	9	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	19	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	35	0	202	0	0	0	0	0	0	0	0	0	19
assemblage-453-406	0	16	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	9	0	0	0	0	0	0	10	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	32	137	0	14	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	8	0	0	24
